department,disease,question,answer,page_url,aaa,aaa,aaa,aaa,time
内科,肺炎,http://ask.39.net/question/66118164.html,新冠病毒肺炎怎么防治？,新型冠状病毒肺炎是一种传染病，但是由于它的传染能力比较强大，所以按照甲类传染病来进行治疗，这是一种传染病，当然最主要的还是切断传播途径，控制传染源来保护易感人群的，所以这是预防的主要方案。同时新型冠状病毒肺炎的治疗方案要根据患者病情的严重程度来进行决定，如果是比较轻微的肺炎，一般通过使用药物就可以痊愈。,李云华,主治医师,心理疾病，妇科疾病，内科疾病，儿科疾病,东营市河口区人民医院社区卫生服务中心,2020-03-07
内科,肺炎,http://ask.39.net/question/66117629.html,这种情况严重吗，得怎么治疗。,慢性肺炎导致病情出现，建议中医调理治疗。慢性肺炎病程非常漫长，肺炎是指终末气道、肺泡和肺间质的炎症，慢性病情由于细菌、病毒、真菌、寄生虫等致病微生物，以及放射线因素，综合感染诱发病情形成，诱发产生有各种症状，常见有咳嗽，少痰，建议雾化治疗。,胡文超,医师,头痛眩晕腰椎病咳嗽，全身性动脉粥样硬化症，血管性头痛，子宫肌瘤，女性经期内分泌疾病，阴茎手术盆腔积液，腘窝囊肿，性激素异常,长沙市岳麓区瑞华医院,2020-03-07
内科,肺炎,http://ask.39.net/question/66117624.html,这种情况严重吗，得怎么治疗！,目前是肺炎的常见状况，诱发发生有肺部纤维变性。肺炎是指终末气道、肺泡和肺间质的炎症。可由细菌、病毒、真菌、寄生虫等致病微生物，以及放射线、吸入性异物等理化因素引起，慢性肺炎一般诱发纤维化的改变，建议采用中医调理改善病情，缓解症状。,胡文超,医师,头痛眩晕腰椎病咳嗽，全身性动脉粥样硬化症，血管性头痛，子宫肌瘤，女性经期内分泌疾病，阴茎手术盆腔积液，腘窝囊肿，性激素异常,长沙市岳麓区瑞华医院,2020-03-07
内科,肺炎,http://ask.39.net/question/66117488.html,新冠肺炎一定会发烧吗？会不会自愈？,新冠肺炎是病毒性传染性疾病，主要是通过呼吸系统或者是接触传播这种疾病，它没有特效药物，主要是靠自己的抵抗力慢慢的恢复。这种疾病的话，有时候他没有发烧的情况，有时候只是单纯的咳嗽，所以你饮食上一定要清淡，平时加强运动，注意室内的通风，出门注意戴口罩，积极的做好预防。,肖清雨,主治医师,冠心病，肺心病，慢性支气管炎，慢性阻塞性肺气肿，心律失常，脑梗塞，脑出血，角膜炎，中耳炎，小儿肺炎，小儿腹泻，各型胃肠疾病。,当阳市两河镇卫生院,2020-03-07
内科,肺炎,http://ask.39.net/question/66113035.html,请问您医生，职工医保可以报销急诊费用吗，我父亲年前跨省治病（江苏省人民医院，属于三甲医院）因为快过年医生说床位有限无法提供床位，所以就在急诊治疗，期间租过简易床供父亲休息，（是那种交押金，还床就会退押金的那种）年后父亲病情稳定逐带回家过年，还没有办理出院手续，因为想着过完年再去医院，谁知道碰上了这次肺炎疫情，便配合医生开的药在家静养！治疗期间所有费用都是现金，无法使用医保卡的原因医院给的答复是没有住院，需要我回老家咨询如何报销，后面我去了老家的医保部门，说我的手续不够报销资格，必须得住院才行（我手上目前有急诊病历、缴费清单、还有每晚医生输血后观察的单据）（父亲诊断为巨幼性贫血，输了三次血，一次骨穿手术，七七八八的挂号费、心电监护费），因为之前百度过某些地方无法报销输血费，但是职工医保好像可以报销输血时候时候的材料费和手术费，所以请问我需要做什么才可以报销部分费用，忘有经验的回复下，跪谢,丛医保政策来说，不经住院产生费用是不能报销的，只有住院了才能报销，这次你在急诊的费用估计是没有办法报销了。如果是办了慢性病或特病，这个门诊费用也是可以报销的。你没有办这些，所以这些费用只能自己支付。建议咨询当地医保局，是否可以办一个慢性病。,洪占江,主治医师,高血压，冠心病心绞痛，慢性心功能衰竭，慢性支气管炎，慢阻肺等内科常见病多发病。,深州市中医医院,2020-03-05
内科,肺炎,http://ask.39.net/question/66111605.html,麻烦医生帮我看一下病历本上面写的是什么？,病例上所诊断的疾病是肺部感染所导致的炎症，也就是经常说的肺炎。同时还开具了住院治疗所用的药物。需要根据病情来确定患者的症状，如果有咳喘发烧症状时还要做胸部拍片检查和血常规的检查。根据检查的结果，合理的使用药物治疗，如果症状比较轻，没有发烧症状，也可以服用药物治疗不用住院。,张风文,医师,心内科的脑血管疾病、消化道疾病、糖尿病等，可以扩展外科、妇科、儿科常见病多发病的诊治。,威县协和医院,2020-03-04
内科,肺炎,http://ask.39.net/question/66108229.html,您好，医生。有没有什么情况会导致早上体温正常，下午体温37度多，持续了一段时间了。身体也没不适,体温是一天内可以波动的。临床上的低热标准是37.5℃。就是说36-37.5℃之内的体温波动是没有问题的。但注意，本次的新冠肺炎，重症患者中也有体温正常的患者。以及，平时喜欢运动，饮食，情绪，甲状腺疾病等都可以导致体温的一过性变化。所以如果单次发现体温异常，建议反复多次测量。,李勋,医师,颈椎病，腰椎病的疼痛治疗；临床麻醉，镇痛药，镇静药，肌松药，全麻药的使用，术前，术后的护理与镇痛的实施，分娩镇痛等,吉林大学中日联谊医院,2020-03-03
内科,肺炎,http://ask.39.net/question/66104786.html,做新型冠状肺炎核酸检测能否查出其它结核病，会显示阴阳吗，结果要多久？,新型冠状病毒肺炎核酸监测是检查不出来肺结核的，因为他们的病原菌是不一样的，肺结核主要还是由于结核杆菌引起，一般都需要通过痰找结核杆菌来明确的。新型冠状病毒肺炎根据试纸的不同，他们的检测时间也是不一样，最快现在可以15分钟出结果，最长需要1到2天。,陈德龙,主治医师,各种颈肩腰腿痛，头痛，胸痛，腹痛。子宫附件痛以及各种手术麻醉和术后疼痛诊疗。兼治胃肠病胃溃疡，心血管疾病心脏病，妇科疾病月经不调,金华市中心医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104786.html,做新型冠状肺炎核酸检测能否查出其它结核病，会显示阴阳吗，结果要多久？,做新型冠状病毒核酸检测只能检测是否感染了新型冠状病毒感染肺炎，这种检测试剂有特异性的，不能检测出结核病。现在由钟南山院士团队研究出来的新冠病毒试剂盒，15分钟就可以出结果。检测是否有结核，可以做结核菌素试验、化验血沉，拍胸部X光片或肺CT等检查可以明确是否患结核。,杨学水,主治医师,心血管、神经内科、消化、呼吸等常见病、多发病的诊断与治疗工作。,肥城陶阳矿医院,2020-03-01
内科,肺炎,http://ask.39.net/question/66104786.html,做新型冠状肺炎核酸检测能否查出其它结核病，会显示阴阳吗，结果要多久？,做新型冠状肺炎核酸检测能否查出其他结核菌。这种情况下查不出有结核杆菌的。建议您到当地的疾病预防控制中心进行筛查。或者到当地大医院也可以进行筛查。要做好个人的防护。戴口罩。勤洗手。结果可能要几天。也可以进行痰的培养和找抗酸杆菌。,黎勇,主治医师,本人擅长诊治消化系统和脑血管系统的疾病。曾经到过省级大医院去进修。,贵港市妇幼保健院,2020-03-01
